30.5117435	-1.11215513E-05	7.57386224E-05
30.6842594	-1.08212944E-05	7.48969687E-05
30.8577499	-1.05506597E-05	7.43275305E-05
31.032217	-1.02976901E-05	7.3903364E-05
31.207674	-1.00490606E-05	7.34816131E-05
31.3841228	-9.7036509E-06	7.3077259E-05
31.5615711	-9.34043601E-06	7.26787548E-05
31.7400208	-8.98414601E-06	7.22824116E-05
31.9194775	-8.57686246E-06	7.18967567E-05
32.0999527	-8.17506316E-06	7.15135466E-05
32.2814484	-7.77710284E-06	7.11323519E-05
32.4639664	-7.35516687E-06	7.07531217E-05
32.6475182	-6.94169967E-06	7.03759215E-05
32.8321075	-6.52003109E-06	7.00006931E-05
33.0177422	-6.06204685E-06	6.96273419E-05
33.2044258	-5.61351317E-06	6.9255977E-05
33.3921661	-5.16338241E-06	6.88616565E-05
33.5809631	-4.70782925E-06	6.84355036E-05
33.7708321	-4.26184079E-06	6.80119701E-05
33.9617729	-3.83687302E-06	6.75758274E-05
34.1537933	-3.42937642E-06	6.71312955E-05
34.3468971	-3.03055117E-06	6.6689674E-05
34.5410995	-2.64450796E-06	6.62510138E-05
34.736393	-2.26834686E-06	6.58152421E-05
34.9327927	-1.90027424E-06	6.5382359E-05
35.1303024	-1.53946371E-06	6.49522481E-05
35.3289299	-1.18641356E-06	6.45249602E-05
35.5286827	-8.40983319E-07	6.41004808E-05
35.7295647	-5.00546093E-07	6.36788536E-05
35.9315758	-1.67651621E-07	6.32599986E-05
36.1347351	1.57800258E-07	6.28450216E-05
36.3390427	4.75750653E-07	6.24375316E-05
36.5445023	7.86551084E-07	6.20327046E-05
36.7511292	1.09550126E-06	6.16354082E-05
36.9589195	1.40708391E-06	6.12498916E-05
37.1678848	1.71154147E-06	6.08667833E-05
37.3780365	2.02112255E-06	6.04860979E-05
37.5893707	2.33551282E-06	6.01078573E-05
37.8019028	2.64259802E-06	5.9731974E-05
38.0156364	2.95712857E-06	5.93583754E-05
38.2305756	3.27187581E-06	5.8987076E-05
38.4467316	3.57920658E-06	5.8618105E-05
38.6641121	3.9074007E-06	5.8251484E-05
38.8827171	4.23437041E-06	5.78871768E-05
39.102562	4.55351528E-06	5.75251361E-05
39.3236465	4.93210791E-06	5.71565179E-05
39.5459862	5.30418129E-06	5.67899042E-05
39.769577	5.66753397E-06	5.64108923E-05
39.9944382	6.02402861E-06	5.59246328E-05
40.2205696	6.37179801E-06	5.54425424E-05
40.4479713	6.69928795E-06	5.49646538E-05
40.6766701	6.98758413E-06	5.4490898E-05
40.9066544	7.26857616E-06	5.40212495E-05
41.1379395	7.57055068E-06	5.35556283E-05
41.3705368	7.90239119E-06	5.30939833E-05
41.6044502	8.22583752E-06	5.26363037E-05
41.8396797	8.52333596E-06	5.20967587E-05
42.0762405	8.80043262E-06	5.15012798E-05
42.3141441	9.07027334E-06	5.09126039E-05
42.5533867	9.23433072E-06	5.03295887E-05
42.7939835	9.35828575E-06	4.9752849E-05
43.0359421	9.47830085E-06	4.91827195E-05
43.2792702	9.53479503E-06	4.86586941E-05
43.5239716	9.5814321E-06	4.81451716E-05
43.7700577	9.62619106E-06	4.76411587E-05
44.0175323	9.67684537E-06	4.72330576E-05
44.266407	9.72514499E-06	4.68284379E-05
44.5166893	9.77682339E-06	4.64273035E-05
44.7683907	9.84898634E-06	4.60296142E-05
45.0215111	9.91830348E-06	4.56353264E-05
45.276062	9.98536871E-06	4.52444183E-05
45.5320587	1.00506686E-05	4.48568426E-05
45.7894974	1.01132491E-05	4.44725956E-05
46.0483894	1.01715996E-05	4.40951953E-05
46.3087502	1.02258509E-05	4.37244344E-05
46.5705795	1.02776075E-05	4.33567984E-05
46.833889	1.03301654E-05	4.30017608E-05
47.0986938	1.03819229E-05	4.26545048E-05
47.3649902	1.04312157E-05	4.23100537E-05
47.6327934	1.04829087E-05	4.19683638E-05
47.9021072	1.05332101E-05	4.16294351E-05
48.1729469	1.05810723E-05	4.12932422E-05
48.4453201	1.06127954E-05	4.09597887E-05
48.7192307	1.06420302E-05	4.0629031E-05
48.9946899	1.06677398E-05	4.03040576E-05
49.2717056	1.06806456E-05	4.00038625E-05
49.5502892	1.06919197E-05	3.97059011E-05
49.8304482	1.07090073E-05	3.9424136E-05
50.1121902	1.07435226E-05	3.91806752E-05
50.3955231	1.07759251E-05	3.89387314E-05
50.6804619	1.08219929E-05	3.86982974E-05
50.9670105	1.08862705E-05	3.84593804E-05
51.2551804	1.09477451E-05	3.82219332E-05
51.5449753	1.10325E-05	3.79859703E-05
51.8364143	1.11322443E-05	3.77514589E-05
52.1294975	1.12283678E-05	3.75184063E-05
52.4242401	1.13393116E-05	3.72602117E-05
52.7206459	1.14527566E-05	3.69944901E-05
53.0187302	1.15622406E-05	3.67306675E-05
53.3185005	1.16620176E-05	3.64480511E-05
53.6199646	1.17574164E-05	3.61651546E-05
53.9231339	1.18492553E-05	3.58844627E-05
54.2280159	1.19384385E-05	3.56059682E-05
54.5346184	1.20241348E-05	3.53296455E-05
54.8429642	1.2108404E-05	3.50554401E-05
55.1530457	1.21971525E-05	3.47833484E-05
55.4648819	1.22823867E-05	3.45133667E-05
55.7784805	1.23732361E-05	3.42454914E-05
56.093853	1.2476723E-05	3.39797152E-05
56.4110107	1.25763327E-05	3.37159981E-05
56.7299576	1.26778796E-05	3.34303841E-05
57.0507126	1.2781009E-05	3.31244119E-05
57.3732758	1.28802349E-05	3.28212409E-05
57.6976662	1.29659065E-05	3.25126857E-05
58.0238914	1.30431754E-05	3.22029409E-05
